"","listing_id","id","date","reviewer_id","reviewer_name","comments"
"1",760599,7329055,"2013-09-16",7582316,"Antony","The Axo Houseboat was our first AirBNB experience - and it was more than we could have wished for.  The Houseboat is not 5 Star but it never proposed to be - what it is is a wonderfully comfortable place to stay in a brilliant location within walking distance to everywhere.
Simon is the perfect host - he showed us the boat gave us a few pointers to Amsterdam and then left us to ourselves.
We loved the experience and felt so much part of Amsterdam on the boat - I cannot recommend the experience highly enough.  We were able to cook a wonderful mean for ourselves on a number of nights and just sat looking out the Canal.
Certainly made Amsterdam, which is a wonderful city anyway, so much more special for us."
"2",760599,21950902,"2014-10-27",20038566,"Gus","Simon is a great host and his houseboat is fantastic! It has 2 sofa-beds that opens up as double size beds each. Also, in the bedroom there are 2 comfortable single beds, so it sleeps lots of people. We were only 3, so we were very comfortable. Simon lives in the same boat but you wouldn't notice. It's good to know he's right there if you need anything.

The location is great - city center, Amstel, but is really quiet as well. You can sleep with the windows open if you'd like without any issues. I guess being a city full of bikes instead of cars helps a lot.

I highly recommend Simon's place and I hope to stay there on my next visit to Amsterdam."
"3",760599,29198166,"2015-04-05",28705393,"Sigrid","sehr zentrale Lage, wunderbarer Ausblick, die Schwäne und Möwen direkt am Fenster, nach einem Tag in der Stadt ein wunderbarer Ort zum Entspannen, sehr stilvolles Wohnzimmer, Küche mit allem, was man braucht, Simon ist ein sehr höflicher und zuvorkommender Gastgeber
einziger Nachtteil ist, dass die angrenzende Strasse relativ laut ist
wir würden auf alle Fälle wiederbuchen
ach ja und aufpassen auf die Radfahrer beim rausgehen :-)"
"4",760599,34578716,"2015-06-09",15970332,"Victoria","Die Beschreibung der Wohnung trifft zu. Es wird aber nur ein halbes Boot vermietet, auf der anderen Seite lebt der Vermieter selber. 
Ansonsten ist aber die Lage sehr gut und das Mobiliar entsprechend der Bilder. Für einen kurzen Trip ist die Unterkunft sehr gut geeignet."
"5",760599,39100888,"2015-07-20",38213896,"Peter","TOP! We spent a weekend in Amsterdam with the whole family (4 persons). We arrived late, just before midnight. Checkin was perfectly organised and even Simon waited at the houseboat, welcoming us and giving us a short overview about all things we needed to know on the boat. Very friendly, giving hints about supermarkets, bike rentals, etc.... The boat is located right in the centre of Amsterdam, everything is pretty much walking distance and easy to reach. we really liked staying on the boat, no need for TV or internet (even everything is there for you)as the best thing to do (if you are at home) is watching the boats passing by on the Amstel. The accomodation is well equipped and has everything you need, we felt very comfortable. Even the town is very busy (day and night) we did not find it noisy and had an easy sleep. We can really recommend a stay at the Axo Houseboat for exploring this wonderful city. "
"6",760599,47165881,"2015-09-16",18865854,"Gael","Cet appartement est idéalement situé, juste derrière la place Rembrandt.
Propre et très fonctionnel, il ne nous a rien manqué.
Nous avons loué des vélos à 2 pas de là et les tram passent à 200m, idem pour le métro.
"
"7",760599,67484271,"2016-03-29",18629172,"Francesco","Very nice and cozy houseboat, 2 minutes walking far from Rembrandtplein and in a very quiet zone. Everything was absolutely perfect inside the house and we really appreciated all of the extra comfort, such as the bluetooth stereo and the guitar. Moreover, the swan that knocked several times to our window and came to visit us made our stay even more pleasant.
Eventually, Simon is very kind and available for any kind of request."
"8",760599,69682808,"2016-04-12",49850515,"Damon","thanks for the stay. tremendous to be inches above the amstel. "
"9",760599,70428201,"2016-04-17",64500466,"Olivier","Very nice place in the center of Amsterdam. Big spaces an all acomodations avaible."
"10",760599,73203861,"2016-05-07",53040633,"Jan","Perfekt beliggenhed i Amsterdam. Nært til centrum, kongeslot, museer og masser af restauranter i omegnen. Gider du ikke bevæge dig er placeringen også perfekt. Der sker hele tiden noget lige uden for vinduet på kanalen Amstel.
Værten Simon gav en venlig velkomst og fortalte om lejligheden i husbåden. Den indeholder, hvad der er behov for til en god ferie. Simon informerede også om en 5. maj koncert i nærheden, hvilket var en stor oplevelse at deltage i sammen med tusindvis andre.
Axo Houseboat er det perfekte sted at have som base for en storbyferie i Amsterdam"
"11",760599,77101988,"2016-05-30",11245385,"Caryl","We had a fabulous time on the houseboat. Picking up the keys was simple and convenient. We were able to leave our luggage before and after which was very convenient. Close to everything and great views. Would book again for sure! "
"12",760599,90434482,"2016-08-01",2364239,"Peter","This is really cool place in the heart of downtown Amsterdam - for better or worse. Everything is within easy walking distance, but there tends to be a fair amount of late partying noise if your an early/light sleeper. 

The main space and bedroom are small but very comfortable. The kitchen is perfect for breakfasts and lunches, but would be a challenge for elaborate cooking. The bathroom is well, a little dingy but serviceable. 

Sitting on the sofa our kids shrieked when a swan swam to the window and pecked at their heads! Worth the compromises of being on a boat. 

Simon was a good host and very accommodating. "
